10:00:28.007 INFO  17544 --- [http-nio-8080-exec-2] EmailVerificationServiceImpl : - Создан новый токен: EmailVerificationToken(id=1, token=80e3df44-3dcc-4af3-a711-95335bb6b931, createdAt=2023-11-25T10:00:27.999113402, expiresAt=2023-11-25T10:15:27.999122182, confirmedAt=null, user=Doctor(experience=null, specialty=null, qualifications=null, isAccepted=false, hospital=null, lastModified=2023-11-25T10:00:27.967704416, lastModifiedBy=null))
10:00:31.443 INFO  20980 --- [task-1] EmailVerificationServiceImpl : - Отправка сообщения для: witic43620@cumzle.com
10:00:47.024 INFO  36561 --- [http-nio-8080-exec-3] EmailVerificationServiceImpl : - По токену: 80e3df44-3dcc-4af3-a711-95335bb6b931 аккаунт подтвержден
10:01:15.198 INFO  64735 --- [http-nio-8080-exec-4] EmailVerificationServiceImpl : - Создан новый токен: EmailVerificationToken(id=2, token=cc43657e-0a06-4c4d-a7f8-9208d897a45b, createdAt=2023-11-25T10:01:15.197436692, expiresAt=2023-11-25T10:16:15.197443399, confirmedAt=null, user=Doctor(experience=null, specialty=null, qualifications=null, isAccepted=false, hospital=null, lastModified=2023-11-25T10:01:15.195898082, lastModifiedBy=null))
10:01:17.869 INFO  67406 --- [task-2] EmailVerificationServiceImpl : - Отправка сообщения для: dondon@cumzle.com
10:01:39.367 INFO  88904 --- [http-nio-8080-exec-6] EmailVerificationServiceImpl : - По токену: cc43657e-0a06-4c4d-a7f8-9208d897a45b аккаунт подтвержден
10:02:41.286 INFO  150823 --- [http-nio-8080-exec-2] EmailVerificationServiceImpl : - Создан новый токен: EmailVerificationToken(id=3, token=a71ea4db-607d-4218-a644-de885065d5cf, createdAt=2023-11-25T10:02:41.282196429, expiresAt=2023-11-25T10:17:41.282205756, confirmedAt=null, user=User(id=3, firstname=SNOW, lastname=CEN, email=dondon@cumzle.com, password=$2a$10$Np7AKrBmoPzMJ8V.9H7DwuWR8dxOa9jxhcSl9rZyhlLK8rixtKbYi, age=18, role=USER, emailVerified=false, user_type=PATIENT))
10:02:44.859 INFO  154396 --- [task-3] EmailVerificationServiceImpl : - Отправка сообщения для: dondon@cumzle.com
10:02:53.238 INFO  162775 --- [http-nio-8080-exec-3] EmailVerificationServiceImpl : - По токену: a71ea4db-607d-4218-a644-de885065d5cf аккаунт подтвержден
10:13:24.704 INFO  23464 --- [http-nio-8080-exec-1] EmailVerificationServiceImpl : - Создан новый токен: EmailVerificationToken(id=4, token=3c0a7c19-b551-4d32-aedc-4f8c5784dbc2, createdAt=2023-11-25T10:13:24.699297152, expiresAt=2023-11-25T10:28:24.699308222, confirmedAt=null, user=Doctor(experience=null, specialty=null, qualifications=null, isAccepted=false, hospital=null, lastModified=2023-11-25T10:13:24.680117203, lastModifiedBy=null))
10:13:27.687 INFO  26447 --- [task-1] EmailVerificationServiceImpl : - Отправка сообщения для: headPhis@cumzle.com
10:13:37.733 INFO  36493 --- [http-nio-8080-exec-3] EmailVerificationServiceImpl : - По токену: 3c0a7c19-b551-4d32-aedc-4f8c5784dbc2 аккаунт подтвержден
